38,53,298,81,60,W
38,53,298,81,58,W
38,53,298,78,58,W
38,53,298,70,58,W
38,53,298,64,58,W
38,45,298,64,58,W
38,43,298,64,58,W
38,36,298,64,58,W
38,33,298,64,58,W
38,33,298,64,46,W
30,33,298,64,46,W
24,33,298,64,46,W
24,33,298,64,46,W+A
25,35,297,60,46,W+A
25,39,271,58,46,W+A
25,43,223,53,44,W+A
27,49,173,52,45,W
27,51,169,49,42,W
29,57,163,48,42,W
29,60,159,48,41,W
31,62,153,46,41,W
31,65,149,46,38,W
33,67,145,43,38,W
35,67,139,42,36,W
35,69,136,42,36,W
39,75,130,39,34,W+D
39,71,163,40,34,W+D
41,69,185,40,32,W+D
41,65,211,42,32,W+D
42,60,234,41,32,W+D
41,57,297,43,32,W
41,57,297,42,32,W
41,57,297,43,34,W
41,57,297,42,34,W
39,55,297,42,32,W
41,55,297,42,32,W
41,53,297,43,32,W
41,53,297,43,30,W
41,55,297,43,30,W
41,55,297,42,30,W
39,57,297,43,32,W
39,61,297,43,32,W
39,65,297,46,32,W
39,69,297,46,32,W
41,87,297,48,32,W
41,99,297,43,32,W
41,101,297,43,32,W
43,101,297,46,34,W
43,103,297,42,34,W
47,103,297,42,34,W
47,107,297,42,34,W
45,107,297,38,34,W+D
49,101,297,40,32,W+D
47,95,297,43,32,W+D
47,89,297,46,32,W+D
47,85,297,47,32,W
51,85,297,47,32,W
51,85,289,43,33,W
56,85,285,45,33,W
58,85,283,45,33,W
59,81,275,41,36,W
61,81,271,41,33,W
63,79,267,41,33,W
61,77,259,43,32,W
61,77,255,45,32,W
61,75,251,47,33,W
61,73,247,47,28,W
61,71,239,49,29,W
61,71,235,49,28,W
61,69,231,47,29,W
59,67,225,49,32,W+A
59,67,274,46,32,W+A
57,71,297,43,32,W+A
57,73,297,41,34,W+A
57,75,297,39,34,W+A
56,79,298,37,32,W+A
57,83,297,36,32,W
57,83,297,36,30,W
57,84,297,34,28,W
57,84,297,34,26,W
59,87,297,34,26,W
59,89,297,31,24,W
61,89,297,30,24,W
61,89,293,30,24,W
61,91,289,30,22,W
61,91,283,30,22,W
61,91,277,30,22,W
63,92,273,27,22,W
